Epoch 0100: Test Loss 0.9308, Test Accuracy 0.6700
Epoch 0200: Test Loss 0.9911, Test Accuracy 0.6720
Epoch 0300: Test Loss 1.0182, Test Accuracy 0.6660
Epoch 0400: Test Loss 1.0541, Test Accuracy 0.6700
Epoch 0500: Test Loss 1.0613, Test Accuracy 0.6690
Epoch 0600: Test Loss 1.0692, Test Accuracy 0.6700
Epoch 0700: Test Loss 1.0517, Test Accuracy 0.6690
Epoch 0800: Test Loss 1.0433, Test Accuracy 0.6670
Epoch 0900: Test Loss 1.0576, Test Accuracy 0.6710
Epoch 1000: Test Loss 1.0480, Test Accuracy 0.6710
Epoch 1100: Test Loss 1.0781, Test Accuracy 0.6670
Epoch 1200: Test Loss 1.0473, Test Accuracy 0.6700
Epoch 1300: Test Loss 1.0448, Test Accuracy 0.6720
Epoch 1400: Test Loss 1.0538, Test Accuracy 0.6720
Epoch 1500: Test Loss 1.0396, Test Accuracy 0.6730
Epoch 1600: Test Loss 1.0477, Test Accuracy 0.6700
Epoch 1700: Test Loss 1.0483, Test Accuracy 0.6690
Epoch 1800: Test Loss 1.0591, Test Accuracy 0.6640
Epoch 1900: Test Loss 1.0484, Test Accuracy 0.6730
Epoch 2000: Test Loss 1.0584, Test Accuracy 0.6650
*******************************
Trial 00: test accuracy 0.6820
*******************************
Epoch 0100: Test Loss 0.9393, Test Accuracy 0.6690
Epoch 0200: Test Loss 0.9812, Test Accuracy 0.6710
Epoch 0300: Test Loss 1.0247, Test Accuracy 0.6710
Epoch 0400: Test Loss 1.0322, Test Accuracy 0.6730
Epoch 0500: Test Loss 1.0755, Test Accuracy 0.6740
Epoch 0600: Test Loss 1.0343, Test Accuracy 0.6760
Epoch 0700: Test Loss 1.0327, Test Accuracy 0.6710
Epoch 0800: Test Loss 1.0594, Test Accuracy 0.6710
Epoch 0900: Test Loss 1.0518, Test Accuracy 0.6700
Epoch 1000: Test Loss 1.0454, Test Accuracy 0.6720
Epoch 1100: Test Loss 1.0565, Test Accuracy 0.6740
Epoch 1200: Test Loss 1.0422, Test Accuracy 0.6650
Epoch 1300: Test Loss 1.0546, Test Accuracy 0.6770
Epoch 1400: Test Loss 1.0551, Test Accuracy 0.6730
